Week	java	c++	c#	python	JavaScript
2014-04-20 - 2014-04-26	36	6	8	7	11
2014-04-27 - 2014-05-03	35	6	7	7	11
2014-05-04 - 2014-05-10	35	6	8	7	11
2014-05-11 - 2014-05-17	33	6	8	7	12
2014-05-18 - 2014-05-24	33	6	9	6	12
2014-05-25 - 2014-05-31	33	6	8	6	11
2014-06-01 - 2014-06-07	33	6	8	6	11
2014-06-08 - 2014-06-14	33	5	8	6	11
2014-06-15 - 2014-06-21	32	5	8	6	11
2014-06-22 - 2014-06-28	32	5	8	6	11
2014-06-29 - 2014-07-05	33	5	8	7	11
2014-07-06 - 2014-07-12	32	5	8	6	11
2014-07-13 - 2014-07-19	35	5	8	7	11
2014-07-20 - 2014-07-26	34	5	8	8	12
2014-07-27 - 2014-08-02	32	5	7	6	11
2014-08-03 - 2014-08-09	32	5	8	6	11
2014-08-10 - 2014-08-16	32	5	7	6	10
2014-08-17 - 2014-08-23	33	5	8	6	11
2014-08-24 - 2014-08-30	32	5	8	6	11
2014-08-31 - 2014-09-06	32	6	8	6	11
2014-09-07 - 2014-09-13	33	6	8	7	11
2014-09-14 - 2014-09-20	32	6	8	7	12
2014-09-21 - 2014-09-27	33	7	8	7	11
2014-09-28 - 2014-10-04	32	6	8	7	11
2014-10-05 - 2014-10-11	32	6	8	7	11
2014-10-12 - 2014-10-18	34	7	8	7	11
2014-10-19 - 2014-10-25	35	7	8	7	11
2014-10-26 - 2014-11-01	36	7	8	7	11
2014-11-02 - 2014-11-08	35	6	8	7	11
2014-11-09 - 2014-11-15	35	7	8	7	11
2014-11-16 - 2014-11-22	34	7	8	7	11
2014-11-23 - 2014-11-29	32	7	8	7	11
2014-11-30 - 2014-12-06	32	7	8	7	11
2014-12-07 - 2014-12-13	31	6	8	7	11
2014-12-14 - 2014-12-20	30	6	7	6	11
2014-12-21 - 2014-12-27	27	4	5	5	8
2014-12-28 - 2015-01-03	27	4	5	5	8
2015-01-04 - 2015-01-10	29	5	7	6	10
2015-01-11 - 2015-01-17	30	5	7	7	11
2015-01-18 - 2015-01-24	31	6	8	7	11
2015-01-25 - 2015-01-31	32	6	7	7	11
2015-02-01 - 2015-02-07	32	6	8	7	11
2015-02-08 - 2015-02-14	31	6	8	7	11
2015-02-15 - 2015-02-21	31	6	8	7	11
2015-02-22 - 2015-02-28	31	6	8	7	11
2015-03-01 - 2015-03-07	31	6	8	7	12
2015-03-08 - 2015-03-14	32	6	8	7	12
2015-03-15 - 2015-03-21	30	6	8	7	12
2015-03-22 - 2015-03-28	32	6	8	7	12
2015-03-29 - 2015-04-04	30	6	7	7	11
2015-04-05 - 2015-04-11	30	6	8	7	11
2015-04-12 - 2015-04-18	33	6	8	7	11
2015-04-19 - 2015-04-25	35	6	8	7	12
2015-04-26 - 2015-05-02	30	6	7	7	11
2015-05-03 - 2015-05-09	31	6	8	7	11
2015-05-10 - 2015-05-16	31	6	8	7	11
2015-05-17 - 2015-05-23	31	6	8	7	12
2015-05-24 - 2015-05-30	29	5	8	7	11
2015-05-31 - 2015-06-06	28	5	8	7	11
2015-06-07 - 2015-06-13	30	5	8	7	12
2015-06-14 - 2015-06-20	29	5	8	7	12
2015-06-21 - 2015-06-27	29	5	7	7	11
2015-06-28 - 2015-07-04	28	5	7	7	11
2015-07-05 - 2015-07-11	28	5	7	7	11
2015-07-12 - 2015-07-18	29	4	7	7	11
2015-07-19 - 2015-07-25	30	5	7	7	11
2015-07-26 - 2015-08-01	29	5	7	7	11
2015-08-02 - 2015-08-08	27	5	7	7	11
2015-08-09 - 2015-08-15	26	5	7	7	11
2015-08-16 - 2015-08-22	26	5	7	7	10
